project,type,commit,variant,spec,location,inspected,in_library
liquibase-mssql,eMOP-FineMOP,3ae07cbb3d7b36ca3a57db95b71366c916c75693,METHODS-F_ps1c,Iterator_HasNext,liquibase.database.DatabaseFactory.getImplementedDatabases(DatabaseFactory.java:70).,TRUE +VE,true
liquibase-mssql,eMOP-FineMOP,3ae07cbb3d7b36ca3a57db95b71366c916c75693,METHODS-F_ps1c,SortedSet_Comparable,liquibase.database.DatabaseFactory.findCorrectDatabaseImplementation(DatabaseFactory.java:108).,TRUE +VE,true
liquibase-mssql,eMOP-FineMOP,3ae07cbb3d7b36ca3a57db95b71366c916c75693,METHODS-F_ps1c,SortedSet_Comparable,liquibase.database.DatabaseFactory.register(DatabaseFactory.java:98).,TRUE +VE,true
liquibase-mssql,eMOP-FineMOP,3ae07cbb3d7b36ca3a57db95b71366c916c75693,METHODS-F_ps1c,TreeSet_Comparable,liquibase.database.DatabaseFactory.findCorrectDatabaseImplementation(DatabaseFactory.java:108).,TRUE +VE,true
liquibase-mssql,eMOP-FineMOP,3ae07cbb3d7b36ca3a57db95b71366c916c75693,METHODS-F_ps1c,TreeSet_Comparable,liquibase.database.DatabaseFactory.register(DatabaseFactory.java:98).,TRUE +VE,true
liquibase-mssql,eMOP-FineMOP,3ae07cbb3d7b36ca3a57db95b71366c916c75693,METHODS-FA_ps1c,Iterator_HasNext,liquibase.database.DatabaseFactory.findCorrectDatabaseImplementation(DatabaseFactory.java:126).,TRUE +VE,true
liquibase-mssql,eMOP-FineMOP,3ae07cbb3d7b36ca3a57db95b71366c916c75693,METHODS-FA_ps1c,Iterator_HasNext,liquibase.database.DatabaseFactory.getImplementedDatabases(DatabaseFactory.java:70).,TRUE +VE,true
liquibase-mssql,eMOP-FineMOP,3ae07cbb3d7b36ca3a57db95b71366c916c75693,METHODS-FA_ps1c,SortedSet_Comparable,liquibase.database.DatabaseFactory.findCorrectDatabaseImplementation(DatabaseFactory.java:108).,TRUE +VE,true
liquibase-mssql,eMOP-FineMOP,3ae07cbb3d7b36ca3a57db95b71366c916c75693,METHODS-FA_ps1c,SortedSet_Comparable,liquibase.database.DatabaseFactory.register(DatabaseFactory.java:98).,TRUE +VE,true
liquibase-mssql,eMOP-FineMOP,3ae07cbb3d7b36ca3a57db95b71366c916c75693,METHODS-FA_ps1c,TreeSet_Comparable,liquibase.database.DatabaseFactory.findCorrectDatabaseImplementation(DatabaseFactory.java:108).,TRUE +VE,true
liquibase-mssql,eMOP-FineMOP,3ae07cbb3d7b36ca3a57db95b71366c916c75693,METHODS-FA_ps1c,TreeSet_Comparable,liquibase.database.DatabaseFactory.register(DatabaseFactory.java:98).,TRUE +VE,true
time-series-math,eMOP-FineMOP,c2fa911b,METHODS-FA_ps3cl,SortedSet_Comparable,ro.hasna.ts.math.representation.AdaptivePiecewiseConstantApproximation.createSegmentsSet(AdaptivePiecewiseConstantApproximation.java:148).,TRUE +VE,false
time-series-math,eMOP-FineMOP,c2fa911b,METHODS-FA_ps3cl,TreeSet_Comparable,ro.hasna.ts.math.representation.AdaptivePiecewiseConstantApproximation.createSegmentsSet(AdaptivePiecewiseConstantApproximation.java:148).,TRUE +VE,false
gelly-streaming,eMOP-FineMOP,7b41635a,METHODS-FA_ps1c,Map_UnsafeIterator,org.apache.flink.graph.streaming.example.util.DisjointSetTest.testMerge(DisjointSetTest.java:72).,TRUE +VE,false
gelly-streaming,eMOP-FineMOP,7b41635a,METHODS-FA_ps3cl,Map_UnsafeIterator,org.apache.flink.graph.streaming.example.util.DisjointSetTest.testMerge(DisjointSetTest.java:72).,TRUE +VE,false
gelly-streaming,eMOP-FineMOP,fd519999,HyRTS-S_ps1c,Iterator_HasNext,org.apache.flink.streaming.runtime.operators.windowing.WindowOperator.emitWindow(WindowOperator.java:300).,TRUE +VE,true
gelly-streaming,eMOP-FineMOP,fd519999,METHODS-S_ps1c,Iterator_HasNext,org.apache.flink.streaming.runtime.operators.windowing.WindowOperator.emitWindow(WindowOperator.java:300).,TRUE +VE,true
gelly-streaming,eMOP-FineMOP,fd519999,METHODS-F_ps1c,Iterator_HasNext,org.apache.flink.streaming.runtime.operators.windowing.WindowOperator.emitWindow(WindowOperator.java:300).,TRUE +VE,true
gelly-streaming,eMOP-FineMOP,fd519999,METHODS-FA_ps1c,Iterator_HasNext,org.apache.flink.streaming.runtime.operators.windowing.WindowOperator.emitWindow(WindowOperator.java:300).,TRUE +VE,true
heros,eMOP-FineMOP,c740e6b4c80ab9e6162a39dcc280b22429e0279b,FINE_ps1c,Iterator_HasNext,com.google.common.collect.StandardTable$CellIterator.hasNext(StandardTable.java:242).,FALSE +VE,true
heros,eMOP-FineMOP,c740e6b4c80ab9e6162a39dcc280b22429e0279b,FINE_ps1c,Iterator_HasNext,com.google.common.collect.StandardTable$CellIterator.next(StandardTable.java:251).,FALSE +VE,true
heros,eMOP-FineMOP,c740e6b4c80ab9e6162a39dcc280b22429e0279b,FINE_ps3cl,Iterator_HasNext,com.google.common.collect.StandardTable$CellIterator.hasNext(StandardTable.java:242).,FALSE +VE,true
heros,eMOP-FineMOP,c740e6b4c80ab9e6162a39dcc280b22429e0279b,FINE_ps3cl,Iterator_HasNext,com.google.common.collect.StandardTable$CellIterator.next(StandardTable.java:251).,FALSE +VE,true
